Prompt,Label,Message
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens""

Label:
ham",ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones""

Label:
ham",ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p""

Label:
spam",spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.""

Label:
ham",ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16""

Label:
spam",spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""I'll text carlos and let you know, hang on""

Label:
ham",ham,"I'll text carlos and let you know, hang on"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""K.i did't see you.:)k:)where are you now?""

Label:
ham",ham,K.i did't see you.:)k:)where are you now?
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""No message..no responce..what happend?""

Label:
ham",ham,No message..no responce..what happend?
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.""

Label:
ham",ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""You flippin your shit yet?""

Label:
ham",ham,You flippin your shit yet?
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.""

Label:
ham",ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk""

Label:
spam",spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""I'm wif him now buying tix lar...""

Label:
ham",ham,I'm wif him now buying tix lar...
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Call me when u finish then i come n pick u.""

Label:
ham",ham,Call me when u finish then i come n pick u.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Dear how is chechi. Did you talk to her""

Label:
ham",ham,Dear how is chechi. Did you talk to her
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""What's up. Do you want me to come online?""

Label:
ham",ham,What's up. Do you want me to come online?
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Were somewhere on Fredericksburg""

Label:
ham",ham,Were somewhere on Fredericksburg
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011""

Label:
spam",spam,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""When can Ì_ come out?""

Label:
ham",ham,When can Ì_ come out?
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""K, if u bored up just come to my home..""

Label:
ham",ham,"K, if u bored up just come to my home.."
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)""

Label:
ham",ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""A bloo bloo bloo I'll miss the first bowl""

Label:
ham",ham,A bloo bloo bloo I'll miss the first bowl
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Yeah sure, give me a couple minutes to track down my wallet""

Label:
ham",ham,"Yeah sure, give me a couple minutes to track down my wallet"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.""

Label:
spam",spam,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x""

Label:
ham",ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Its not the same here. Still looking for a job. How much do Ta's earn there.""

Label:
ham",ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Gud gud..k, chikku tke care.. sleep well gud nyt""

Label:
ham",ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""I'll reach in ard 20 mins ok...""

Label:
ham",ham,I'll reach in ard 20 mins ok...
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Wat Ì_ doing now?""

Label:
ham",ham,Wat Ì_ doing now?
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.""

Label:
ham",ham,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.""

Label:
ham",ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+""

Label:
spam",spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""Can you pls send me that company name. In saibaba colany""

Label:
ham",ham,Can you pls send me that company name. In saibaba colany
"Instruction:
Classify the following SMS message as either ""spam"" or ""ham"" (not spam).

Message:
""I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.""

Label:
ham",ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
